content,score,label
Gamenya bagus rasanya seperti nonton anime genre petualang gak ngebosenin mantep dah😎,5,positif
"Dari grafik dan story juga bagus termasuk gameplaynya, overall tidak ada yang kurang tapi ada 1 saran saya tolong beri manajemen pengunduhan khusus yang rendah, menengah dan tinggi (jika bisa) karena khususnya hp android terkadang suka frame drop saat memainkannya walaupun sudah menggunakan settingan rata kiri. Semoga MihoYo paham dengan maksud saya and sekian terima kasih",5,positif
"Jujur ini game paling lama yang gua mainin, hampir dua tahun mainin gi ga pernah bosen karna update nya konsisten, meski kadang suka kesel sendiri karna masalah gacha tapi gua sadar resiko game gacha ya gini harus sabar dan kuat mental 🤣",3,negatif
banget menyengsarakan tapi untuk ukuran terlalu besar untuk data jika ini 25 GB masih oke,5,positif
"Hallo, ini game sungguh memuaskan dri segi apapun, tapi yang kurang itu adalah, ketika bermain di mode co op, terlalu banyak batasan, saya dan teman saya merasa kurang bebas melakukan hal lain, semoga next update mode co op ga terlalu di batasi kecuali quest archon saja, terimakasih",5,positif
semoga nantinya android bisa ditambahkan kontrol keyboard dan joystick,5,positif
Cerita dalam game terlalu banyak filler dan game mechanic terlalu sederhana. Genshin Impact membosankan,2,negatif
"Udah bagus sih, cuman saya harap untuk versi android bisa pakai gamepad juga",5,positif
Gak bisa skip story nih game dan untuk pemain baru inggin instal nih game sebaiknya jangan main pertama untuk bansos untuk pemain baru dapet 10 x spin doang spin gratisnya emang pelit nih game bisa bikin anda nyesel download kedua terlalu banyak habiskan waktu dan lainya pokoknya gak ramah untuk pemain baru saran untuk pemain baru mending beli akun yang sudah jadi dan pelajari sendiri ketimbang main dari awal,1,negatif
"kok ngeleg pas main quest utama yang judulnya itu pengorbanan yang tidak di sengaja,bahkan ampe lama banget ini game kenapa sih",1,negatif
"Udh improve cuman masih ada bug sama masalah jaringan ketika co-op, plus jangan kasih gw kalah rate off mulu udah mah miskin bansos",3,negatif
"Harus donlot data tambahan 30giga, yang gak punya kuota jangan donlot..",3,negatif
Game nya bagus grafik dan story nya sangat bagus pokonya game ini sangat recomend untuk semua kalangan,5,positif
"tolong perbaiki bug audio, game nya tidak ada suara sama sekali, malah ada suara meletup letup, padahal di aplikasi lain suaranya ada, berarti terbukti speaker hp saya yang tidak rusak",1,negatif
Gamenya bagus dan harus nolep:v tapi jujur game bagus dah tapi kalo hpnya kentang jangan maksain diri dan hadiahnya bagus.,5,positif
Saya berharap game ini bisa di kurangin lagi data nya karena bagi saya untuk Ram 4gb /64 udah lag tolong ya defeloper,2,negatif
"Masih pemula, semoga bisa betah dengan grafis, alur cerita dan fitur lainnya. Pasti gampang maininnya dengan banyak karakter, pasti bisa dapet semuanya tanpa topup hehe",5,positif
maaf sebelum nya saya ingin bertanya ko genshin saya stuck di loading screen padahal sebelum-sebelum nya tidak ada masalah sama sekali,5,positif
"Perjalanan yang asyikk, cerita nya sangat menarik",5,positif
Wow luar biasa 😁😁😁😄😄😄saya bisa merasakan kebahagiaan saat memainkan game ini Untuk update kali ini kok jadi ngelek di infinix note 30 pro gw.. Tolong di cek dong,5,positif
Sebenarnya game nya bagus banget T-T Cuman sangat di sayang kan di update kali ini sangat nga jelegur bikin penyimpanan penuh dan juga suka ngelag kadang juga ngebug dan juga waktu loading di bagian geo nya itu lama banget padahal jaringan lancar,4,positif
"Event nya makin sampah, event semakin ke region baru menuntut anda untuk memiliki karakter terbaru dan harus sudah artifact sempurna, anda tidak akan mendapatkan hadiah jika memiliki device yang buruk dan koneksi yang pas-pasan",1,negatif
Lama-lama bosen gw jir tambah konten baru kayak game sebelah lah,3,negatif
"Kalau bisa perbanyak even yang bagus, dan story yang seru dan sedih, sisanya sudah mantapp😜😜",5,positif
Plis semoga di update selanjutnya android bisa pake gamepad di android,4,positif
"Game nya seru jalan ceritanya unik dan buanyak plotwis gila tapi kadang padahal wifi bagus semua pas tapi kadang sering lag padahal gak ada apa apa itu aja sih terima kasih oh satu lagi banyak bug di liyue,inazuma dan sumeru kadang sering kejepit atau ke teleport sendiri jadi tolong dibenerin ya",4,positif
"Game open word yang seru, petualangan tanpa henti, banyak quest dan tantangan yang seru dan wajib di coba, banyak karakter tampilan skil dan efek yang bagus dan memukau, grafik yang tinggi sangat bagus dilihat, tidak frame drop 4 tahun memainkan game ini, tapi sayang bagi saya belum mendapatkan karakter bintang 5, karena saya player yang hanya mengumpulkan primogem yang ditukar dengan Intertwined Fate untuk meminta permohonan karakter.",5,positif
"Gamenya bagus, cuma misinya banyak yang susah dan nggk seimbang sama level karakter. Untuk descent karakter juga susah, mau buka map baru lebih susah lagi krn bisa2 mati karakternya. Misi yang diambil dan sempat belum selesai karena misi utama kadang kalo mau dikerjain di map nggk ditunjukin arahnya mau kemana jadi saya yg buta map kadang muter2 aja, kecuali teman veteran online baru dituntun mainnya. Wktu misi buka 3 segel juga pdahal udh ratain semuanya tp nggk kebuka2 itu segel.",4,positif
"Game nya bagus banget,aku suka banget sama grafik nya,musiknya, karakter,dan pemandangan nya, pokoknya bagus deh👍👍",5,positif
"Gemenya Seru. Tapi,Tolong ping jaringannya jangan kuning terus,,,",4,positif
"Bagus banget lo, menurutku ini game RPG, open world terbaik sih. Secara interaksi banyak, dan detail. Udah main ±1 tahun setengag dan udah kayak rumah sendiri. Gameplay nga gak ngebosenin karena selalu ada yang batu. Awalnya main di laptop dan di hp, sama-sama menyenangkan. Cuman yaa Hadiahnya aja yang dikit-dikit hhe.",5,positif
"Selamat siang, 你好 pihak hoyoverse, sebenarnya untuk keseluruhan game menurut saya pribadi jujur game ini adalah game RPG terbaik menurut saya dengan alur quest nya, karakter, hingga desain tempat dan kesan petualangan fantastis. Akan tetapi ada satu keluhan yang dapat saya sampaikan, barang yang awalnya sudah terlanjur saya craft dan bisa saja itu kesalahan kita sebagai player.atas it bisakah dengan hormat pihak hoyo menambahkan fitur untuk mengembalikan barang itu seperti semula(undo) lagi, 謝謝.",5,positif
"Gamenya bagus grafik nya apalagi bagus banget tapi ini saya mau coba ganti akun pake akun baru bisa ga pas ganti akun semua info game nya gausah restart lagi dari awal kaya karakter nya, quest nya gausah ulang lagi dari awal",4,positif
"Untuk keseluruhan sih udh bagus dan sangat disaran kan untuk di download untuk hp² yang ram nya gede minimal 8+..soalnya ini rom nya sangat banyak memakan ruang memory..padahal saya udh jauh dan rata² level player 70+ dan sudah banyak terbuka semua map,tapi sayang nya ku harus berhenti,karena makin kesini kapasitas ruang memory nya tidak cukup untuk menampung pembaruan lagi,.sekian terimakasih🙏dari awal SMPE akhir sangat² baik dan bagus game nya",5,positif
"Saya coba bermain pertama kali langsung suka dengan alur ceritanya, ada banyak lagi tempat"" yang harus kita jelajahi, gak tau mau komen apa lagi bagus dah game nya genshin impact mendapatkan bintang 5 dari saya👐",5,positif
Saat sedang menjalankan quest di monstad layar saya jadi hitam dan tidak bisa ngapa-ngapain walaupun log ulang,3,negatif
"Tolong bug di cairkan bongkahan es di perbaiki, tidak bisa turun ke bawah, lama-lama saya malas main game ini",2,negatif
"Semuanya bagus cuman 1 saran dari saya, kasih Artefak yang sedikit bagus untuk player pemula supaya mudah saat Explorasi dan lain-lain",4,positif
"Setelah update 3.7 semakin berat, sinyal bagus tpi pas main genshin langsung jadi jelek sinyalnya",4,positif
"Pas awal main suka banget dan lancar juga. Tapi lama² kesel banget soalnya gak bisa masuk ke game nya padahal internet lancar² aja, di aplikasi lain lancar, tapi di game genshin gak bisa",2,negatif
"Gameplay nya seru banget, cerita dan petualangannya keren keren banget",5,positif
Bagus sih tapi pas aku masuk ke game nya kan disitu aku pilih Europe ya karna aku baru pertama kali main genshin impact ini trus disitu bilang penyimpanan data anda tidak cukup padahal fotoku baru 39 foto dan 5 vidio kek mana sihhh??????,3,negatif
"Dah bagus, tapi tolong hoyoverse berikan tombol skip pada ceritanya KELAMAAN🤬🤬, jadi terkadang bosan liat dialog yang banyak ngomongnya, kadang ada pemain yang mau tau ceritanya ada yang gak mau, biar gak ribet itu juga jadi gak sesuai dengan kebijakan kalian agar kami para pemain gak main terlalu lama, LUCU tau gak yang buat kami main terlalu lama itu karna dialog di story gamenya , JADI... Tolong!!!! Seditaknya ada tombol ""SKIPNYA"" 🤬🤬🤬🤬🤬🤬🤬",2,negatif
"mekanisme drum dalam quest ""gema pencerahan sehati"" sulit dipahami, ketika memulai tantangan selalu gagal padahal belum dicoba pukul drumnya, apa itu karena bug? devlp mohon tanggapannya",4,positif
"Tolong developer. Ini parah sih, terjadi kemacetan di dalam game di misi mengejar bayangan(memasuki markas fatui di monstadt) di situ karakter macet gak mau gerak, dan ini udah dari kesekian kalinya gua coba terus tapi ya tetep macet di situ, padahal misi yang lain ok-ok aja dan hp gua support, sumpah ini buat developer tolong di perbaiki, ini meresahkan banget sih, gua emg pemula tapi sumpah ini entah bug entah apalah pokoknya jadi penghambat gua buat ke misi lainnya",3,negatif
adain dong fitur gamepad jangan yang khusus aja soalnya gamepad mahal banget,3,negatif
Tolong tambahkan fitur untuk skip dialog story karena ini yang membuat bosan ketika bermain yang memakai dialog sangat panjang,4,positif
"Woy lah. Gua main genshin yg bagian diluc malah nge stuck, alias gak bisa bergerak. Mohon perbaikannya ya mihoyo! Lagi farming buat naikkin AR malah nge bug. Padahal saya pake wifi.. hmm...",3,negatif
Akhir akhir ini kenapa genshin sering force close saat di fontaine. Padahal perangkat masih kompatibel. Mohon segera dibenahi,4,positif
"Semoga next update ada fitur custom setting untuk memperbesar ataupun memperkecil tombol, karena saya pemain di device mobile sering sekali mendapat kendala ""skill tidak ditekan"" karena tombol skill yang terlalu kecil bagi jari saya, hal tersebut membuat rotasi tim saya menjadi buruk.",5,positif
sebenernya udah bagus game sama alurnya tapi tolong hoyo diperbaiki masa muka nya xiangling sama heizou nya hitam jadi mohon diperbaiki,1,negatif
"Bagus bagus aja, cuma kalo gacha susah dapet Character/Senjata B5 harus gacha 3-12× an kalo mau dapet, itu juga harus 10× gacha, dan susah kalo nyari primogem",5,positif
"Story, grafik, dan gameplay sangat bagus. Tapi tolong, jangan dipersulit saat explore, tambahkan pendapatan primogem nya agar mempermudah player, dan tolong naikkan gacha rate agar player baru lebih mudah mendapatkan karakter baru",4,positif
Capek dengan sistem gacha di akunku. Gak pernah dikasih win 50/50 buang² primo banyak tapi dapetnya ampas terus,1,negatif
"Game impian para gemers sejati. Kembangkan terus, ini game terbaik versi android.",5,positif
Saya sangat menyukai game ini karena game ini sangat seru dan gak bosenin habis itu di game ini bisa dapa primodian gratis tiap hari untuk nyepin ya walaupun ngumpulinnya sangat lama dan agak susah tapi tetap aku senang karena bisa dapat banyak karakter gratis tanpa harus keluarkan uang terima hasih hoyoverse,5,positif
gm nya bagus dan semuah memuaskan tapi satu hal kalo masuk ke gm ny itu lama banget apa lagi sya pakenya wifi dorasinya jadi lama jadi mohon untuk dorasih masuknya di percepat data maupun wifi trimakasih,4,positif
Geme nya bagus banget tapi ukurannya ga bersahabat ama jaringan ku yg spek kukang jadi lama banget dowload data nya,5,positif
"Tolong developer ini akun ku pity nya tidak riset riset,terus bagian dendroculus juga hilang. Padahal dendroculus saya sudah maks di level 10 yang dimana harusnya nyisa 1 dendroculus tapi malah hilang. Mohon untuk perbaikannya",3,negatif
"Game bagus ,cmn minusnya yng paling gede storynya banyak bicara banget gk bisa di skip pula,bikin ngantuk ini sih minus paling gede di game ini makanya maen game ini lama bener,bahan material jg di batasin juga grinding di jadwal",4,positif
"sistem gacha ampassss! udah di high pity mulu kalah rate off berturut², ditambah di spam char itu itu aja! untung udh gapernah top up, udh firasat gacha karakter ampas mulu eh bener aja dong. ok, time to rest from this game! Pensi byeee !!!",1,negatif
Game bagus sekali saya suka mohon adain event lebih banyak lagi yang dapat primogem banyak..,5,positif
"Game nya sangat seru tapiiii tolong banget lah tambahin fitur controler untuk android, pengen banget main pake gamepad",5,positif
"Mengunduh data nya, sampai satu tahun,, bahkan sampai sekarang pun, masih mengunduh data game ini.. 😴",5,positif
"Suka banget sama gamenya, grafiknya bagus, story menarik, tapi untuk gacha dimudahin dikit dong:)",5,positif
Game yah seru tapi untung unduh data agak lama tapi grafik yah bagus kok,5,positif
"Gamenya bagus, mekanik battlenya beda, ngoplos2 elemen, belum ada game yg mekanik battle nya kek gini, tapi serenetia potnya jangan dibatasin jumlahnya lah anjeng, orang mau berkreatifitas malah dibatesin anjeng bikin males dekor anjeeeeeng aouuoouououoo tot",5,positif
Apk ini sangat bagus ram 4 aja bisa main aku beri bintang 5 deh,5,positif
Yang membuat gua benci ini game cuma 1 kenapa lvl monster bos nya itu selalu naik di yang ga wajar kenapa bikin 1 lvl tetap aja jadinya kalo butuh item buat naikin lvl karakter jauh lebih susah lagi kalo monster bos nya itu ada dilevel ga wajar gimana cara naikin level nya kalo kaya gitu,1,negatif
game nya bagus tapi saat menjalankan misi kaeya pas udah sampai gak bisa lanjut cerita nya,3,negatif
Grafik okeh tapi buat badan jadi pegel banget mata kayak kayak gimana gitu jadi bintang 4 dlu ya hehe,4,positif
RAM 12 GB sering macet di suara game nya saat dlm pertarungan mohon didengar dan segera diperbaiki mimin terimakasih 😭,4,positif
Game nya sih udh bagus dan lancar tapi tolong min banyakin gratisan nya🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,2,negatif
"Bagus tapi, aku belum bisa main lagi soalnya gamenya ngebug di tengah jalan, aku baru main dan masih di peta monstadt, pas quest ngambil holy lyre yang di ambil para fatui game nya tiba"" gak bisa di gerakin, udah relog, unduh data ulang, uninstall dan matiin semua efek efek yang ada tapi tetep gak bisa, padahal memo aku masih kosong. Tolong dong di perbaikin lagi, aku masih mau main.",3,negatif
Tolong ini saya kok kek error gitu jadi greget nih nyelesain prolog 2 tapi malah gk jelas ni gameny tolong dipertimbangkan lagi,1,negatif
