content,score,label,text_clean,text_stopword,text_tokenize,text_stemmed
Gamenya bagus rasanya seperti nonton anime genre petualang gak ngebosenin mantep dah😎,5,positif,gamenya bagus rasanya seperti nonton anime genre petualang gak ngebosenin mantep dah ,gamenya bagus nonton anime genre petualang gak ngebosenin mantep dah,"['gamenya', 'bagus', 'nonton', 'anime', 'genre', 'petualang', 'gak', 'ngebosenin', 'mantep', 'dah']",gamenya bagus nonton anime genre tualang gak ngebosenin mantep dah
"Dari grafik dan story juga bagus termasuk gameplaynya, overall tidak ada yang kurang tapi ada 1 saran saya tolong beri manajemen pengunduhan khusus yang rendah, menengah dan tinggi (jika bisa) karena khususnya hp android terkadang suka frame drop saat memainkannya walaupun sudah menggunakan settingan rata kiri. Semoga MihoYo paham dengan maksud saya and sekian terima kasih",5,positif,dari grafik dan story juga bagus termasuk gameplaynya  overall tidak ada yang kurang tapi ada   saran saya tolong beri manajemen pengunduhan khusus yang rendah  menengah dan tinggi  jika bisa  karena khususnya hp android terkadang suka frame drop saat memainkannya walaupun sudah menggunakan settingan rata kiri  semoga mihoyo paham dengan maksud saya and sekian terima kasih,grafik story bagus gameplaynya overall saran tolong manajemen pengunduhan khusus rendah menengah hp android terkadang suka frame drop memainkannya settingan kiri semoga mihoyo paham maksud and sekian terima kasih,"['grafik', 'story', 'bagus', 'gameplaynya', 'overall', 'saran', 'tolong', 'manajemen', 'pengunduhan', 'khusus', 'rendah', 'menengah', 'hp', 'android', 'terkadang', 'suka', 'frame', 'drop', 'memainkannya', 'settingan', 'kiri', 'semoga', 'mihoyo', 'paham', 'maksud', 'and', 'sekian', 'terima', 'kasih']",grafik story bagus gameplaynya overall saran tolong manajemen unduh khusus rendah tengah hp android terkadang suka frame drop main settingan kiri moga mihoyo paham maksud and sekian terima kasih
"Jujur ini game paling lama yang gua mainin, hampir dua tahun mainin gi ga pernah bosen karna update nya konsisten, meski kadang suka kesel sendiri karna masalah gacha tapi gua sadar resiko game gacha ya gini harus sabar dan kuat mental 🤣",3,negatif,jujur ini game paling lama yang gua mainin  hampir dua tahun mainin gi ga pernah bosen karna update nya konsisten  meski kadang suka kesel sendiri karna masalah gacha tapi gua sadar resiko game gacha ya gini harus sabar dan kuat mental  ,jujur game gua mainin mainin gi ga bosen karna update nya konsisten kadang suka kesel karna gacha gua sadar resiko game gacha ya gini sabar kuat mental,"['jujur', 'game', 'gua', 'mainin', 'mainin', 'gi', 'ga', 'bosen', 'karna', 'update', 'nya', 'konsisten', 'kadang', 'suka', 'kesel', 'karna', 'gacha', 'gua', 'sadar', 'resiko', 'game', 'gacha', 'ya', 'gini', 'sabar', 'kuat', 'mental']",jujur game gua mainin mainin gi ga bosen karna update nya konsisten kadang suka kesel karna gacha gua sadar resiko game gacha ya gin sabar kuat mental
banget menyengsarakan tapi untuk ukuran terlalu besar untuk data jika ini 25 GB masih oke,5,positif,banget menyengsarakan tapi untuk ukuran terlalu besar untuk data jika ini    gb masih oke,banget menyengsarakan ukuran data gb oke,"['banget', 'menyengsarakan', 'ukuran', 'data', 'gb', 'oke']",banget sengsara ukur data gb oke
"Hallo, ini game sungguh memuaskan dri segi apapun, tapi yang kurang itu adalah, ketika bermain di mode co op, terlalu banyak batasan, saya dan teman saya merasa kurang bebas melakukan hal lain, semoga next update mode co op ga terlalu di batasi kecuali quest archon saja, terimakasih",5,positif,hallo  ini game sungguh memuaskan dri segi apapun  tapi yang kurang itu adalah  ketika bermain di mode co op  terlalu banyak batasan  saya dan teman saya merasa kurang bebas melakukan hal lain  semoga next update mode co op ga terlalu di batasi kecuali quest archon saja  terimakasih,hallo game sungguh memuaskan dri segi apapun bermain mode co op batasan teman bebas semoga next update mode co op ga batasi kecuali quest archon terimakasih,"['hallo', 'game', 'sungguh', 'memuaskan', 'dri', 'segi', 'apapun', 'bermain', 'mode', 'co', 'op', 'batasan', 'teman', 'bebas', 'semoga', 'next', 'update', 'mode', 'co', 'op', 'ga', 'batasi', 'kecuali', 'quest', 'archon', 'terimakasih']",hallo game sungguh muas dri segi apa main mode co op batas teman bebas moga next update mode co op ga batas kecuali quest archon terimakasih
semoga nantinya android bisa ditambahkan kontrol keyboard dan joystick,5,positif,semoga nantinya android bisa ditambahkan kontrol keyboard dan joystick,semoga android kontrol keyboard joystick,"['semoga', 'android', 'kontrol', 'keyboard', 'joystick']",moga android kontrol keyboard joystick
Cerita dalam game terlalu banyak filler dan game mechanic terlalu sederhana. Genshin Impact membosankan,2,negatif,cerita dalam game terlalu banyak filler dan game mechanic terlalu sederhana  genshin impact membosankan,cerita game filler game mechanic sederhana genshin impact membosankan,"['cerita', 'game', 'filler', 'game', 'mechanic', 'sederhana', 'genshin', 'impact', 'membosankan']",cerita game filler game mechanic sederhana genshin impact bosan
"Udah bagus sih, cuman saya harap untuk versi android bisa pakai gamepad juga",5,positif,udah bagus sih  cuman saya harap untuk versi android bisa pakai gamepad juga,udah bagus sih cuman harap versi android pakai gamepad,"['udah', 'bagus', 'sih', 'cuman', 'harap', 'versi', 'android', 'pakai', 'gamepad']",udah bagus sih cuman harap versi android pakai gamepad
Gak bisa skip story nih game dan untuk pemain baru inggin instal nih game sebaiknya jangan main pertama untuk bansos untuk pemain baru dapet 10 x spin doang spin gratisnya emang pelit nih game bisa bikin anda nyesel download kedua terlalu banyak habiskan waktu dan lainya pokoknya gak ramah untuk pemain baru saran untuk pemain baru mending beli akun yang sudah jadi dan pelajari sendiri ketimbang main dari awal,1,negatif,gak bisa skip story nih game dan untuk pemain baru inggin instal nih game sebaiknya jangan main pertama untuk bansos untuk pemain baru dapet    x spin doang spin gratisnya emang pelit nih game bisa bikin anda nyesel download kedua terlalu banyak habiskan waktu dan lainya pokoknya gak ramah untuk pemain baru saran untuk pemain baru mending beli akun yang sudah jadi dan pelajari sendiri ketimbang main dari awal,gak skip story nih game pemain inggin instal nih game main bansos pemain dapet x spin doang spin gratisnya emang pelit nih game bikin nyesel download habiskan lainya pokoknya gak ramah pemain saran pemain mending beli akun pelajari ketimbang main,"['gak', 'skip', 'story', 'nih', 'game', 'pemain', 'inggin', 'instal', 'nih', 'game', 'main', 'bansos', 'pemain', 'dapet', 'x', 'spin', 'doang', 'spin', 'gratisnya', 'emang', 'pelit', 'nih', 'game', 'bikin', 'nyesel', 'download', 'habiskan', 'lainya', 'pokoknya', 'gak', 'ramah', 'pemain', 'saran', 'pemain', 'mending', 'beli', 'akun', 'pelajari', 'ketimbang', 'main']",gak skip story nih game main inggin instal nih game main bansos main dapet x spin doang spin gratis emang pelit nih game bikin nyesel download habis lai pokok gak ramah main saran main mending beli akun ajar ketimbang main
"kok ngeleg pas main quest utama yang judulnya itu pengorbanan yang tidak di sengaja,bahkan ampe lama banget ini game kenapa sih",1,negatif,kok ngeleg pas main quest utama yang judulnya itu pengorbanan yang tidak di sengaja bahkan ampe lama banget ini game kenapa sih,ngeleg pas main quest utama judulnya pengorbanan sengaja ampe banget game sih,"['ngeleg', 'pas', 'main', 'quest', 'utama', 'judulnya', 'pengorbanan', 'sengaja', 'ampe', 'banget', 'game', 'sih']",ngeleg pas main quest utama judul korban sengaja ampe banget game sih
"Udh improve cuman masih ada bug sama masalah jaringan ketika co-op, plus jangan kasih gw kalah rate off mulu udah mah miskin bansos",3,negatif,udh improve cuman masih ada bug sama masalah jaringan ketika co op  plus jangan kasih gw kalah rate off mulu udah mah miskin bansos,udh improve cuman bug jaringan co op plus kasih gw kalah rate off mulu udah mah miskin bansos,"['udh', 'improve', 'cuman', 'bug', 'jaringan', 'co', 'op', 'plus', 'kasih', 'gw', 'kalah', 'rate', 'off', 'mulu', 'udah', 'mah', 'miskin', 'bansos']",udh improve cuman bug jaring co op plus kasih gw kalah rate off mulu udah mah miskin bansos
"Harus donlot data tambahan 30giga, yang gak punya kuota jangan donlot..",3,negatif,harus donlot data tambahan   giga  yang gak punya kuota jangan donlot  ,donlot data tambahan giga gak kuota donlot,"['donlot', 'data', 'tambahan', 'giga', 'gak', 'kuota', 'donlot']",donlot data tambah giga gak kuota donlot
Game nya bagus grafik dan story nya sangat bagus pokonya game ini sangat recomend untuk semua kalangan,5,positif,game nya bagus grafik dan story nya sangat bagus pokonya game ini sangat recomend untuk semua kalangan,game nya bagus grafik story nya bagus pokonya game recomend kalangan,"['game', 'nya', 'bagus', 'grafik', 'story', 'nya', 'bagus', 'pokonya', 'game', 'recomend', 'kalangan']",game nya bagus grafik story nya bagus poko game recomend kalang
"tolong perbaiki bug audio, game nya tidak ada suara sama sekali, malah ada suara meletup letup, padahal di aplikasi lain suaranya ada, berarti terbukti speaker hp saya yang tidak rusak",1,negatif,tolong perbaiki bug audio  game nya tidak ada suara sama sekali  malah ada suara meletup letup  padahal di aplikasi lain suaranya ada  berarti terbukti speaker hp saya yang tidak rusak,tolong perbaiki bug audio game nya suara suara meletup letup aplikasi suaranya terbukti speaker hp rusak,"['tolong', 'perbaiki', 'bug', 'audio', 'game', 'nya', 'suara', 'suara', 'meletup', 'letup', 'aplikasi', 'suaranya', 'terbukti', 'speaker', 'hp', 'rusak']",tolong baik bug audio game nya suara suara letup letup aplikasi suara bukti speaker hp rusak
